URL,Image_Src,Title,Date,Categories
/python-protocol/,https://files.realpython.com/media/Python-Protocols-How-to-Leverage-Their-Power_Watermarked.a24776f88b49.jpg,Python Protocols: Leveraging Structural Subtyping,"Jul 17, 2024","intermediate, python"
/courses/exercises-introduction-web-scraping/,https://files.realpython.com/media/Python-Basics-Chapter-on-Web-Scraping_Watermarked.f8d56f56c22c.jpg,Exercises Course: Introduction to Web Scraping With Python,"Jul 16, 2024","intermediate, data-science, tools, web-scraping"
/train-test-split-python-data/,https://files.realpython.com/media/Splitting-Datasets-With-sklearns-train_test_split_Watermarked.13dcac93b15d.jpg,Split Your Dataset With scikit-learn's train_test_split(),"Jul 15, 2024","intermediate, data-science, machine-learning, numpy"
/python-function-names/,https://files.realpython.com/media/What-Are-Naming-Conventions-for-Classes-and-Functions-in-Python_Watermarked.3a219d9e5b3b.jpg,How Do You Choose Python Function Names?,"Jul 10, 2024",basics
/courses/customize-vscode-settings/,https://files.realpython.com/media/Art-Customize-VS-Code-Settings.94a1f659ab0c.jpg,Customize VS Code Settings,"Jul 09, 2024","basics, python"
/python-news-july-2024/,https://files.realpython.com/media/Monthly-Python-News_Yellow_Watermarked.e93be1baed14.jpg,Python News Roundup: July 2024,"Jul 08, 2024",community
/python-json/,https://files.realpython.com/media/Working-With-JSON-Data-in-Python_Watermarked.66a8fdcb8859.jpg,Working With JSON Data in Python,"Jul 03, 2024","intermediate, python"
/courses/defining-constants-code-maintainability/,https://files.realpython.com/media/Python-Constants_Watermarked.4cc3aa373268.jpg,Defining Python Constants for Code Maintainability,"Jul 02, 2024","intermediate, python"
/python-built-in-functions/,https://files.realpython.com/media/Pythons-Built-in-Functions-A-Quick-Exploration_Watermarked.44a8e102943b.jpg,Python's Built-in Functions: A Complete Exploration,"Jul 01, 2024","basics, python"
/python-mock-library/,https://files.realpython.com/media/unittest.mock-Tutorial_Watermarked.8e92b54478af.jpg,Understanding the Python Mock Object Library,"Jun 26, 2024","intermediate, testing"
/courses/build-gui-calculator-pyqt/,https://files.realpython.com/media/Building-a-Python-Calculator-With-PyQt_Watermarked.e4c1a5cf2018.jpg,Build a GUI Calculator With PyQt and Python,"Jun 25, 2024","intermediate, gui, projects"
/readme-python-project/,https://files.realpython.com/media/Creating-Good-README.md-Files-for-Your-Python-Projects_Watermarked.034ab572fa3e.jpg,Creating Great README Files for Your Python Projects,"Jun 24, 2024","basics, best-practices, projects"
/python-guitar-synthesizer/,https://files.realpython.com/media/Build-a-Guitar-Synthesizer-with-Python_Watermarked.a80fc2b14da2.jpg,Build a Guitar Synthesizer: Play Musical Tablature in Python,"Jun 19, 2024","intermediate, projects"
/courses/rounding-numbers-python/,https://files.realpython.com/media/How-to-Round-Numbers-in-Python_Watermark.6fb8573ce8f5.jpg,Rounding Numbers in Python,"Jun 18, 2024","intermediate, best-practices, python"
/ruff-python/,https://files.realpython.com/media/Showcase-Ruff-Linter_Watermarked.71e600eb11de.jpg,Ruff: A Modern Python Linter for Error-Free and Maintainable Code,"Jun 17, 2024","intermediate, devops, tools"
/python-mappings/,https://files.realpython.com/media/Python-Mappings_Watermarked-2.a8cbbb3a0c5d.jpg,Python Mappings: A Comprehensive Guide,"Jun 12, 2024","intermediate, python"
/courses/listing-all-files-directory/,https://files.realpython.com/media/How-to-List-Get-All-Files-in-a-Directory-with-Python_Watermarked.b31aa29fe7c7.jpg,Listing All Files in a Directory With Python,"Jun 11, 2024",intermediate
/python-news-may-2024/,https://files.realpython.com/media/Monthly-Python-News_Purple_Watermarked.5b2e306328cb.jpg,Python News: What's New From May 2024,"Jun 10, 2024",community
